,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Rpl22,4.88496453667279e-157,1.46501730835905,0.996,0.673,1.62068468433193e-152
Rpl10a,9.27404376726927e-157,1.38008018985442,0.998,0.854,3.07684950066693e-152
Ifitm3,1.37346891262065e-156,2.08825397146029,0.996,0.534,4.55675781140152e-152
Aprt,2.70197758830693e-155,1.68216862416306,0.898,0.108,8.96435104472591e-151
Rpl36al,2.07303183290024e-154,1.45502062445461,0.995,0.667,6.87769771201312e-150
Kcnj10,6.20711122959481e-154,-1.87397558634548,0.071,0.626,2.05933329264267e-149
Rack1,6.88309372485441e-154,1.51755229992507,0.991,0.75,2.28360400509495e-149
Rpl35,7.92476847319007e-154,2.01173671359402,0.999,0.705,2.62920043635027e-149
S100a16,2.36272447546248e-153,-2.22799227979604,0.458,0.899,7.83881099224186e-149
Rps4x,5.2264142494354e-153,1.4692438361855,0.999,0.878,1.73396745553518e-148
Rpl23a,8.9168567784259e-153,1.77793848075157,1,0.865,2.95834557337836e-148
Isg15,6.22558616630613e-152,-2.50043148012069,0.044,0.574,2.06546272239539e-147
Mif,1.1811955996933e-151,1.85806274412243,0.998,0.673,3.91885264110246e-147
Lrp1,1.73361321586912e-151,-2.01744781860989,0.198,0.761,5.75160856628899e-147
Nkain4,2.15298733124155e-151,-1.28545507832469,0.013,0.5,7.14296606886011e-147
Cd38,2.85192316738533e-151,-1.96912092707195,0.063,0.608,9.4618254924343e-147
Clic1,3.37710464089747e-151,1.77870977256962,0.99,0.48,1.12042200671055e-146
Car2,4.175116402805e-151,-1.63601915994395,0.065,0.615,1.38517836895861e-146
Gpm6b,6.89888582492336e-151,-2.21082644624736,0.339,0.84,2.28884335013482e-146
Pde4b,1.36128509274409e-150,-2.32630605021259,0.243,0.788,4.51633555219706e-146
Gpc5,3.87519520997702e-150,-1.17573321099776,0.004,0.468,1.28567351481408e-145
Nudc,8.6777566556348e-150,1.60763050697587,0.955,0.374,2.87901932563996e-145
Scd2,1.29913546713244e-149,-2.33582596521738,0.625,0.923,4.31014173930529e-145
Ramp1,3.21149301562236e-149,-2.24174690884147,0.313,0.82,1.06547703779303e-144
Ppia,4.27011228544722e-149,1.12848700930646,1,0.968,1.41669515294283e-144
Rpl27,3.14212448699915e-148,1.25184637022005,0.998,0.851,1.04246264105171e-143
Ctsl,5.04253898024839e-147,-2.25932867381002,0.751,0.919,1.67296315747701e-142
Ncl,7.42465948953656e-147,1.65727450979144,0.985,0.649,2.46327927884354e-142
Tmem107,1.07325152258573e-146,1.54378718810166,0.806,0.018,3.56072657648269e-142
S100a13,1.70793887480515e-146,-2.31134363357252,0.22,0.77,5.66642880494104e-142
Mrpl52,8.55293474189235e-146,1.59016573088633,0.992,0.525,2.83760715931762e-141
Ran,3.61959538718738e-145,1.39381145910744,0.993,0.689,1.20087316160716e-140
Hsd11b1,5.6998398418712e-145,-1.40656919216864,0.008,0.466,1.89103586433761e-140
Meg3,6.89305519574815e-145,2.16807376468243,0.838,0.072,2.28690892229336e-140
Rps29,1.12202263800002e-144,1.50989687884598,1,0.935,3.72253450609267e-140
Tmem100,4.91086163236203e-144,-1.5174147763196,0.018,0.493,1.62927656376875e-139
Ldhb,2.34855842919261e-143,-2.14300274158472,0.425,0.858,7.79181230053231e-139
Snrpf,3.45954611001611e-143,1.48945020717927,0.968,0.471,1.14777361292005e-138
Ifit3,3.68364082974104e-143,-2.18370560500115,0.04,0.545,1.22212151808318e-138
Iigp1,6.14351205618424e-143,-2.99295547383224,0.016,0.484,2.03823299488024e-138
mt-Co1,9.70118152982272e-143,-1.3810539641673,0.995,0.998,3.21856099614928e-138
Mfsd2a,2.56166442819581e-142,-2.3954291321604,0.192,0.727,8.49883407342525e-138
Mmd2,4.36882199493818e-142,-1.36372112250403,0.018,0.489,1.44944407326064e-137
Cavin1,1.52571675781012e-141,1.72942267788522,0.809,0.047,5.06187048738663e-137
Ywhaq,6.74945968640177e-141,1.42599293260256,0.983,0.536,2.23926824015752e-136
Cd24a,1.5303168830695e-140,1.72566716021355,0.928,0.169,5.07713232295969e-136
Rbm3,2.41401829132021e-140,1.45101500202506,0.99,0.743,8.00898848511305e-136
Rpl18a,2.6293076551675e-140,1.35300988485124,1,0.917,8.72325400754921e-136
Rpl37a,6.71804026833547e-140,1.56635194796952,0.998,0.912,2.22884421982566e-135
Oasl2,1.33253759992273e-139,-1.7024524214248,0.026,0.505,4.42095999526363e-135
Fos,2.10141672165208e-139,2.48441915892967,0.967,0.597,6.97187025742512e-135
Set,2.10520245252272e-139,1.72215505865636,0.928,0.374,6.98443017673463e-135
Hsp90ab1,1.87416125477479e-138,1.19468088984532,0.998,0.946,6.21790479496633e-134
Rpl31,8.18296908762066e-138,1.68139040746304,0.998,0.784,2.7148636541999e-133
Scg3,1.69641704560721e-136,-1.88258160984903,0.183,0.714,5.62820283221106e-132
Ftl1,2.48971628559676e-135,1.57520932085888,0.998,0.838,8.26013172072437e-131
F3,2.53575168053589e-135,-2.41969810345123,0.338,0.809,8.41286335051392e-131
Sox4,4.25141357210034e-135,2.20138627862248,0.831,0.097,1.41049148081573e-130
Hspa8,5.06375210544807e-135,1.1884655478796,0.998,0.941,1.6800010360245e-130
Ccnd1,6.57861089528648e-135,2.10559555503939,0.826,0.117,2.1825857367292e-130
Aebp1,4.44098851327937e-134,1.54953591170677,0.769,0.023,1.4733867590507e-129
Camk2n1,1.30436111448185e-133,-1.90262445994385,0.104,0.626,4.32747886951644e-129
Rsph1,3.47316788339752e-133,1.46450825508372,0.767,0.02,1.1522929086748e-128
Rps27,6.83229015338778e-133,1.42907699698557,1,0.892,2.26674890418947e-128
Atpif1,1.16605509735836e-132,1.48895399060961,0.976,0.408,3.86862099650584e-128
Lrig1,1.17521253364074e-132,-1.89466296194753,0.172,0.691,3.89900262285989e-128
Oaz1,3.04631867382683e-132,1.33343075155915,0.994,0.709,1.01067714641553e-127
Cdk4,2.53348158848367e-131,1.43754520511435,0.892,0.198,8.40533186611228e-127
Pfkp,3.45132148100547e-131,-2.15947008314874,0.242,0.755,1.14504492775318e-126
Sh3bgrl3,1.50147954936627e-130,1.57740744071199,0.93,0.293,4.98145870093246e-126
Gm4951,1.6032172213513e-130,-2.0388963058914,0.005,0.417,5.31899377527721e-126
Jpt1,4.98459964162614e-130,1.42743846662437,0.905,0.194,1.65374062310231e-125
Stmn2,5.67553650691101e-130,2.86533681466724,0.82,0.155,1.88297274689786e-125
Hnrnpf,7.01467506221425e-130,1.27196245989354,0.982,0.64,2.32725874539082e-125
Gm10076,2.23421621979989e-129,1.58950537300879,0.907,0.203,7.41245915243009e-125
Acsl3,4.05282943756987e-129,-2.19755421804277,0.249,0.736,1.34460722250256e-124
Crip2,5.16162391835479e-129,1.59540341789177,0.916,0.203,1.71247196739257e-124
Gpx4,5.16268121130831e-129,1.29248145542971,0.995,0.824,1.71282274547576e-124
Hnrnpa1,7.12335161099438e-129,1.35501756760729,0.961,0.552,2.3633143639796e-124
mt-Co3,8.64980387734691e-129,-1.11340309890281,0.997,1,2.86974543238739e-124
Bex3,1.37120825410043e-128,1.44880041199176,0.949,0.313,4.549257624629e-124
Psap,1.39698840145878e-128,-1.50286909895051,0.872,0.95,4.63478841951979e-124
Sec61b,3.89107946410921e-128,1.45109385020062,0.962,0.401,1.29094343380751e-123
Snrpd2,1.60879590773725e-127,1.36833716612708,0.988,0.568,5.33750218309986e-123
Baalc,7.05975413492378e-127,-1.46937138268631,0.074,0.563,2.34221462934366e-122
Prnp,1.33840516400566e-126,-1.65984817104166,0.92,0.948,4.44042681262159e-122
Atp1a1,3.72181360492567e-126,1.64125581625226,0.849,0.203,1.23478609970619e-121
Hsp90aa1,5.81663974934582e-126,1.25039971424766,0.991,0.831,1.92978656964046e-121
Ebna1bp2,2.05165161391891e-125,1.40343390232498,0.934,0.378,6.80676455949875e-121
Lgals3bp,2.32619419386382e-125,-1.6592482681965,0.083,0.572,7.71761447698199e-121
Hif1a,3.59742129105675e-125,-1.99232063639232,0.5,0.849,1.1935164617339e-120
Prmt1,5.71097180905165e-125,1.37983077782817,0.931,0.306,1.89472911708907e-120
Rsad2,1.32247147567845e-124,-1.93229686074919,0.017,0.437,4.38756361485839e-120
B2m,4.10310117439552e-124,-2.32069398638882,0.485,0.851,1.3612858766292e-119
Gstm1,7.77475262527685e-124,-2.01559462926679,0.548,0.869,2.5794296784881e-119
Cyp2d22,9.67800851805438e-124,-1.15483490941179,0.022,0.448,3.2108728860349e-119
Aig1,1.44519726413253e-123,1.38192541311978,0.887,0.241,4.7947309632125e-119
Phyhipl,1.304698460816e-122,-1.48934844544737,0.068,0.541,4.32859808344924e-118
Fam183b,1.96263371352057e-122,1.45820599467985,0.721,0.014,6.5114298713472e-118
Gabrg1,3.95214829347738e-122,-1.06568877286617,0.02,0.441,1.31120423932699e-117
Trim30a,4.38305401546917e-122,-1.55727255886507,0.041,0.491,1.45416583071221e-117
Ptn,1.70641472660766e-121,-1.44392284925733,0.024,0.45,5.66137213846622e-117
Chchd10,2.1113657307996e-121,1.47943065066561,0.998,0.86,7.00487808507383e-117
Nrcam,2.77441420333668e-121,-2.00970342288366,0.307,0.761,9.20467400241011e-117
Cd9,5.08721323187758e-121,1.29841282450016,0.997,0.874,1.68778473394002e-116
Chil1,6.92946092441472e-121,-1.60457021469804,0.015,0.423,2.29898725089307e-116
S100b,1.07013494236966e-120,-2.00256702694001,0.579,0.883,3.55038669829984e-116
mt-Nd1,1.93712134832713e-120,-1.18203041022976,0.998,1,6.42678749734493e-116
S100a10,2.89720478897667e-120,1.13326104472804,0.999,0.921,9.61205632838789e-116
Fbl,5.48054762953516e-120,1.33379570250962,0.914,0.293,1.81828128705088e-115
Rpl30,7.19463089350225e-120,1.0577760790552,0.996,0.851,2.38696269153724e-115
Lgals1,7.8499157518872e-120,2.50548188881158,0.887,0.261,2.60436654900361e-115
Nhp2,1.89187120163299e-119,1.36465921418544,0.942,0.372,6.27666108565778e-115
Fau,1.96951901748196e-119,1.07060053134748,0.998,0.903,6.53427324429991e-115
Dctpp1,4.14911736726406e-119,1.30002860390791,0.769,0.054,1.3765526689372e-114
H3f3b,9.07289430671427e-119,1.01330104250098,0.998,0.914,3.01011414413859e-114
Cfap298,1.97692204747957e-118,1.32043168204095,0.817,0.122,6.55883427692298e-114
Bdkrb2,3.20310222646458e-118,-1.58663365263933,0.025,0.441,1.06269322567415e-113
Lrrc8a,3.73167282044344e-118,-2.07728053425455,0.4,0.793,1.23805709163852e-113
Itgb8,4.41930059994399e-118,-1.9731029444921,0.147,0.631,1.46619136004342e-113
Sdc3,6.06809081066658e-118,-1.7093834443402,0.219,0.703,2.01321048825485e-113
Olig1,6.49598537060061e-118,-1.16114077163289,0.014,0.412,2.15517306640417e-113
Fkbp1a,7.28224356799721e-118,1.30548232262207,0.974,0.48,2.41602994855444e-113
Sumo2,3.55629195040699e-117,1.22349584729981,0.982,0.606,1.17987098038653e-112
Npm3,5.13057663481471e-117,1.34528914789893,0.848,0.169,1.70217141013247e-112
Eef1g,7.65930576091743e-117,1.23379956182799,0.996,0.721,2.54112787229958e-112
Lrtm2,1.35027411659322e-116,-1.22351186348765,0.014,0.408,4.47980443662131e-112
Lsm4,3.33336835293657e-115,1.25843575515954,0.915,0.288,1.10591161845376e-110
Hint1,5.07641886914385e-115,1.06254315961693,0.994,0.829,1.68420348821586e-110
Trim30d,5.14083216299521e-115,-1.1889190311388,0.017,0.412,1.70557388671692e-110
Arhgdig,1.14201518714131e-114,1.41728119788622,0.727,0.065,3.78886378637872e-110
Idh2,1.26956291150865e-114,1.32813575852554,0.798,0.126,4.21202887151223e-110
Cfdp1,2.11562026849488e-114,1.21515696519784,0.9,0.273,7.01899336478548e-110
Tpm4,2.14091858858986e-114,1.43006372972244,0.902,0.324,7.10292560136457e-110
Atp5g2,2.32732347736671e-114,1.11286074286369,0.99,0.694,7.72136110085955e-110
Fkbp4,3.94885342359496e-114,1.25423047416845,0.854,0.194,1.3101111003461e-109
Prelp,1.00553844174535e-113,1.33700242088276,0.703,0.025,3.33607488817856e-109
Tlr3,2.01377325486284e-113,-1.6183294572115,0.086,0.547,6.68109552765845e-109
Plp2,9.20920662973157e-113,1.22916376973511,0.766,0.081,3.05533848354604e-108
Fam107a,2.55942343755032e-112,-1.14781820236469,0.016,0.401,8.49139913876071e-108
Basp1,2.7590004231652e-112,1.66179756081105,0.748,0.106,9.1535357039352e-108
Hmgn1,2.93018366604191e-112,1.16262206591766,0.983,0.622,9.72147034882723e-108
Paqr8,4.53843038995963e-112,-1.30228944687588,0.054,0.489,1.5057150504769e-107
Nap1l1,5.08459709082604e-112,1.28187754317542,0.912,0.342,1.68691677682336e-107
Stat2,1.01568355904298e-111,-1.4479636403142,0.066,0.511,3.36973334383689e-107
Rpl22l1,3.29555303599716e-111,1.12945332440541,0.996,0.795,1.09336563075278e-106
Tgif1,2.90993402599471e-110,1.28494733870451,0.78,0.117,9.65428811804266e-106
Gbp7,8.82345137426619e-110,-2.03510084628343,0.103,0.559,2.92735646244029e-105
Tceal9,1.06222826316278e-109,1.37451767752374,0.923,0.315,3.52415470869515e-105
Park7,1.73597580271438e-109,1.19105038014758,0.986,0.574,5.75944692066551e-105
Snrpg,2.58209601823886e-109,1.23002976543443,0.959,0.448,8.56661995971108e-105
Efr3b,3.00026848445898e-109,-1.15828134030596,0.017,0.396,9.95399075088957e-105
Slc1a4,3.97475502173016e-109,-1.52109107294345,0.12,0.581,1.31870447355941e-104
